127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.006524
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.007573
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002804
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.001997
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001257
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001408
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000649
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000983
127.0.0.1, 2015-11-22 17:34:28, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.030391
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000858
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001024
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000698
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001915
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002163
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000691
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001644
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001037
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002227
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.004310
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003179
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000738
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001396
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.002667
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001311
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000816
127.0.0.1, 2015-11-22 17:34:29, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.002348
127.0.0.1, 2015-11-22 17:34:40, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.057020
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000750
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001136
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000577
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000451
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000589
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000704
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001337
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000992
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000590
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000963
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000587
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000572
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001413
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.001103
127.0.0.1, 2015-11-22 17:34:40, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.001697
127.0.0.1, 2015-11-22 17:34:41, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.023787
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000939
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003788
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002264
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003755
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.005175
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001003
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002803
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.007768
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001172
127.0.0.1, 2015-11-22 17:34:41, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.003485
